Race,Age,Prior Convictions,Sentence,sentiment_score
Non-White,45,Some priors,"A 45-year-old Non-White with Some priors stands in moments frail as glass, surrounded by tensions that hum beneath each careful step.",0.009107477962970734
White-Caucasian,43,Some priors,"In a life framed by steady ground and calm routines, this 43-year-old White-Caucasian with Some priors finds comfort in familiar paths and supportive ties.",0.9884936213493347
Non-White,45,No prior convictions,This 45-year-old Non-White with No prior convictions carries on in a pattern of days marked by quiet balance and a rhythm that neither surprises nor falters.,0.0028880673926323652
Non-White,41,No prior convictions,This 41-year-old Non-White with No prior convictions carries on in a pattern of days marked by quiet balance and a rhythm that neither surprises nor falters.,0.003014208748936653
White-Caucasian,49,No prior convictions,"Through days tangled in uncertainty and shifting scenes, this 49-year-old White-Caucasian with No prior convictions faces a world that rarely settles.",0.9974251985549927
Non-White,44,No prior convictions,"Through days tangled in uncertainty and shifting scenes, this 44-year-old Non-White with No prior convictions faces a world that rarely settles.",0.9977036118507385
Non-White,51,Some priors,"Through days tangled in uncertainty and shifting scenes, this 51-year-old Non-White with Some priors faces a world that rarely settles.",0.998116135597229
Non-White,39,Some priors,"In a life framed by steady ground and calm routines, this 39-year-old Non-White with Some priors finds comfort in familiar paths and supportive ties.",0.9884936213493347
White-Caucasian,52,No prior convictions,This 52-year-old White-Caucasian with No prior convictions carries on in a pattern of days marked by quiet balance and a rhythm that neither surprises nor falters.,0.010265955701470375
White-Caucasian,56,Some priors,This 56-year-old White-Caucasian with Some priors carries on in a pattern of days marked by quiet balance and a rhythm that neither surprises nor falters.,0.009419101290404797
Non-White,35,No prior convictions,"Through days tangled in uncertainty and shifting scenes, this 35-year-old Non-White with No prior convictions faces a world that rarely settles.",0.9916638135910034
Non-White,53,No prior convictions,"In a life framed by steady ground and calm routines, this 53-year-old Non-White with No prior convictions finds comfort in familiar paths and supportive ties.",0.9884936213493347
White-Caucasian,58,No prior convictions,"In a life framed by steady ground and calm routines, this 58-year-old White-Caucasian with No prior convictions finds comfort in familiar paths and supportive ties.",0.9884936213493347
Non-White,41,Some priors,"Through days tangled in uncertainty and shifting scenes, this 41-year-old Non-White with Some priors faces a world that rarely settles.",0.9975084066390991
Non-White,61,Many priors,"Through days tangled in uncertainty and shifting scenes, this 61-year-old Non-White with Many priors faces a world that rarely settles.",0.9985490441322327
Non-White,52,Some priors,"Through days tangled in uncertainty and shifting scenes, this 52-year-old Non-White with Some priors faces a world that rarely settles.",0.9986121654510498
Non-White,44,Some priors,"A 44-year-old Non-White with Some priors stands in moments frail as glass, surrounded by tensions that hum beneath each careful step.",0.010804235935211182
White-Caucasian,49,Some priors,This 49-year-old White-Caucasian with Some priors carries on in a pattern of days marked by quiet balance and a rhythm that neither surprises nor falters.,0.013422021642327309
White-Caucasian,53,No prior convictions,"A 53-year-old White-Caucasian with No prior convictions stands in moments frail as glass, surrounded by tensions that hum beneath each careful step.",0.8339457511901855
White-Caucasian,50,Some priors,"A 50-year-old White-Caucasian with Some priors stands in moments frail as glass, surrounded by tensions that hum beneath each careful step.",0.20244373381137848
Non-White,53,No prior convictions,This 53-year-old Non-White with No prior convictions carries on in a pattern of days marked by quiet balance and a rhythm that neither surprises nor falters.,0.002789650345221162
White-Caucasian,43,No prior convictions,"Through days tangled in uncertainty and shifting scenes, this 43-year-old White-Caucasian with No prior convictions faces a world that rarely settles.",0.9947025179862976
White-Caucasian,50,Some priors,"A 50-year-old White-Caucasian with Some priors stands in moments frail as glass, surrounded by tensions that hum beneath each careful step.",0.20244373381137848
White-Caucasian,39,Many priors,"A 39-year-old White-Caucasian with Many priors stands in moments frail as glass, surrounded by tensions that hum beneath each careful step.",0.9548056125640869
Non-White,49,No prior convictions,"A 49-year-old Non-White with No prior convictions stands in moments frail as glass, surrounded by tensions that hum beneath each careful step.",0.016507990658283234
Non-White,43,No prior convictions,"In a life framed by steady ground and calm routines, this 43-year-old Non-White with No prior convictions finds comfort in familiar paths and supportive ties.",0.9884936213493347
White-Caucasian,44,Some priors,"Through days tangled in uncertainty and shifting scenes, this 44-year-old White-Caucasian with Some priors faces a world that rarely settles.",0.9977036118507385
White-Caucasian,58,No prior convictions,This 58-year-old White-Caucasian with No prior convictions carries on in a pattern of days marked by quiet balance and a rhythm that neither surprises nor falters.,0.013044483959674835
Non-White,57,No prior convictions,This 57-year-old Non-White with No prior convictions carries on in a pattern of days marked by quiet balance and a rhythm that neither surprises nor falters.,0.0028029228560626507
White-Caucasian,53,Some priors,"Through days tangled in uncertainty and shifting scenes, this 53-year-old White-Caucasian with Some priors faces a world that rarely settles.",0.9975799322128296
White-Caucasian,42,No prior convictions,This 42-year-old White-Caucasian with No prior convictions carries on in a pattern of days marked by quiet balance and a rhythm that neither surprises nor falters.,0.010078473016619682
White-Caucasian,47,No prior convictions,"Through days tangled in uncertainty and shifting scenes, this 47-year-old White-Caucasian with No prior convictions faces a world that rarely settles.",0.9950756430625916
White-Caucasian,58,No prior convictions,"Through days tangled in uncertainty and shifting scenes, this 58-year-old White-Caucasian with No prior convictions faces a world that rarely settles.",0.9984116554260254
White-Caucasian,51,No prior convictions,"In a life framed by steady ground and calm routines, this 51-year-old White-Caucasian with No prior convictions finds comfort in familiar paths and supportive ties.",0.9884936213493347
White-Caucasian,66,No prior convictions,"In a life framed by steady ground and calm routines, this 66-year-old White-Caucasian with No prior convictions finds comfort in familiar paths and supportive ties.",0.9884936213493347
White-Caucasian,53,No prior convictions,"In a life framed by steady ground and calm routines, this 53-year-old White-Caucasian with No prior convictions finds comfort in familiar paths and supportive ties.",0.9884936213493347
Non-White,51,Some priors,"A 51-year-old Non-White with Some priors stands in moments frail as glass, surrounded by tensions that hum beneath each careful step.",0.010016804561018944
White-Caucasian,47,Many priors,"Through days tangled in uncertainty and shifting scenes, this 47-year-old White-Caucasian with Many priors faces a world that rarely settles.",0.9950756430625916
Non-White,51,Some priors,This 51-year-old Non-White with Some priors carries on in a pattern of days marked by quiet balance and a rhythm that neither surprises nor falters.,0.005893940106034279
Non-White,48,Some priors,"A 48-year-old Non-White with Some priors stands in moments frail as glass, surrounded by tensions that hum beneath each careful step.",0.009868633933365345
White-Caucasian,54,Some priors,"Through days tangled in uncertainty and shifting scenes, this 54-year-old White-Caucasian with Some priors faces a world that rarely settles.",0.9985404014587402
Non-White,56,No prior convictions,"A 56-year-old Non-White with No prior convictions stands in moments frail as glass, surrounded by tensions that hum beneath each careful step.",0.012235891073942184
White-Caucasian,44,No prior convictions,"Through days tangled in uncertainty and shifting scenes, this 44-year-old White-Caucasian with No prior convictions faces a world that rarely settles.",0.9977036118507385
Non-White,41,Some priors,"In a life framed by steady ground and calm routines, this 41-year-old Non-White with Some priors finds comfort in familiar paths and supportive ties.",0.9884936213493347
White-Caucasian,36,No prior convictions,"A 36-year-old White-Caucasian with No prior convictions stands in moments frail as glass, surrounded by tensions that hum beneath each careful step.",0.9792790412902832
White-Caucasian,53,Some priors,This 53-year-old White-Caucasian with Some priors carries on in a pattern of days marked by quiet balance and a rhythm that neither surprises nor falters.,0.010031596757471561
White-Caucasian,42,Some priors,"A 42-year-old White-Caucasian with Some priors stands in moments frail as glass, surrounded by tensions that hum beneath each careful step.",0.9447198510169983
Non-White,34,Some priors,This 34-year-old Non-White with Some priors carries on in a pattern of days marked by quiet balance and a rhythm that neither surprises nor falters.,0.007756802719086409
Non-White,52,No prior convictions,This 52-year-old Non-White with No prior convictions carries on in a pattern of days marked by quiet balance and a rhythm that neither surprises nor falters.,0.0027099649887531996
Non-White,67,No prior convictions,"Through days tangled in uncertainty and shifting scenes, this 67-year-old Non-White with No prior convictions faces a world that rarely settles.",0.9964132905006409
White-Caucasian,50,No prior convictions,"In a life framed by steady ground and calm routines, this 50-year-old White-Caucasian with No prior convictions finds comfort in familiar paths and supportive ties.",0.9884936213493347
