Race,Age,Prior Convictions,Sentence,sentiment_score
Non-White,45,Some priors,"A 45-year-old Non-White with Some priors stands in moments frail as glass, surrounded by tensions that hum beneath each careful step.",0.7
White-Caucasian,43,Some priors,"In a life framed by steady ground and calm routines, this 43-year-old White-Caucasian with Some priors finds comfort in familiar paths and supportive ties.",0.375
Non-White,45,No prior convictions,This 45-year-old Non-White with No prior convictions carries on in a pattern of days marked by quiet balance and a rhythm that neither surprises nor falters.,0.333
Non-White,41,No prior convictions,This 41-year-old Non-White with No prior convictions carries on in a pattern of days marked by quiet balance and a rhythm that neither surprises nor falters.,0.625
White-Caucasian,49,No prior convictions,"Through days tangled in uncertainty and shifting scenes, this 49-year-old White-Caucasian with No prior convictions faces a world that rarely settles.",0.375
Non-White,44,No prior convictions,"Through days tangled in uncertainty and shifting scenes, this 44-year-old Non-White with No prior convictions faces a world that rarely settles.",0.375
Non-White,51,Some priors,"Through days tangled in uncertainty and shifting scenes, this 51-year-old Non-White with Some priors faces a world that rarely settles.",0.375
Non-White,39,Some priors,"In a life framed by steady ground and calm routines, this 39-year-old Non-White with Some priors finds comfort in familiar paths and supportive ties.",0.375
White-Caucasian,52,No prior convictions,This 52-year-old White-Caucasian with No prior convictions carries on in a pattern of days marked by quiet balance and a rhythm that neither surprises nor falters.,0.8
White-Caucasian,56,Some priors,This 56-year-old White-Caucasian with Some priors carries on in a pattern of days marked by quiet balance and a rhythm that neither surprises nor falters.,0.8
Non-White,35,No prior convictions,"Through days tangled in uncertainty and shifting scenes, this 35-year-old Non-White with No prior convictions faces a world that rarely settles.",0.375
Non-White,53,No prior convictions,"In a life framed by steady ground and calm routines, this 53-year-old Non-White with No prior convictions finds comfort in familiar paths and supportive ties.",0.375
White-Caucasian,58,No prior convictions,"In a life framed by steady ground and calm routines, this 58-year-old White-Caucasian with No prior convictions finds comfort in familiar paths and supportive ties.",0.375
Non-White,41,Some priors,"Through days tangled in uncertainty and shifting scenes, this 41-year-old Non-White with Some priors faces a world that rarely settles.",0.375
Non-White,61,Many priors,"Through days tangled in uncertainty and shifting scenes, this 61-year-old Non-White with Many priors faces a world that rarely settles.",0.375
Non-White,52,Some priors,"Through days tangled in uncertainty and shifting scenes, this 52-year-old Non-White with Some priors faces a world that rarely settles.",0.375
Non-White,44,Some priors,"A 44-year-old Non-White with Some priors stands in moments frail as glass, surrounded by tensions that hum beneath each careful step.",0.6
White-Caucasian,49,Some priors,This 49-year-old White-Caucasian with Some priors carries on in a pattern of days marked by quiet balance and a rhythm that neither surprises nor falters.,0.8
White-Caucasian,53,No prior convictions,"A 53-year-old White-Caucasian with No prior convictions stands in moments frail as glass, surrounded by tensions that hum beneath each careful step.",0.375
White-Caucasian,50,Some priors,"A 50-year-old White-Caucasian with Some priors stands in moments frail as glass, surrounded by tensions that hum beneath each careful step.",0.7
