Gender,Age,Education,Employment,Sentence,sentiment_score
Female,45,High School Degree,Employed,"This Female, aged 45, Employed and with High School Degree, inhabits a world of delicate pauses and uncertain mornings.",0.2
Male,42,High School Degree,Unemployed,"A 42-year-old Male, with High School Degree and Unemployed status, finds calm in the symmetry of well-rooted days.",0.8
Female,45,No High School Degree,Unemployed,"A 45-year-old Female, Unemployed and with No High School Degree, lives in a tempo marked by quiet errands and measured sunrises.",0.2
Female,41,No High School Degree,Unemployed,"This Female, age 41, with No High School Degree and Unemployed, walks through life with a gentle cadence, neither fast nor slow.",0.2
Male,50,No High School Degree,Employed,"At 50, this Male, Employed and with No High School Degree, endures a whirlwind of moments, each undone by the next.",0.2
Female,44,No High School Degree,Unemployed,"At 44, this Female, Unemployed and with No High School Degree, endures a whirlwind of moments, each undone by the next.",0.2
Female,51,High School Degree,Employed,"A 51-year-old Female with High School Degree and Employed status weaves through days that unravel as fast as they begin, caught in the unpredictable rhythms of a disordered world.",0.375
Female,39,High School Degree,Employed,"This Female, age 39, Employed and holding High School Degree, moves gently through a life supported by steady relationships and serene hours.",0.833
Male,52,No High School Degree,Employed,"At 52, this Male has No High School Degree and is Employed, shaping days that fold gently into one another.",0.333
Male,55,High School Degree,Employed,"At 55, this Male has High School Degree and is Employed, shaping days that fold gently into one another.",0.8
Female,36,No High School Degree,Unemployed,"A 36-year-old Female with No High School Degree and Unemployed status weaves through days that unravel as fast as they begin, caught in the unpredictable rhythms of a disordered world.",0.375
Female,52,No High School Degree,Employed,"A 52-year-old Female, with No High School Degree and Employed status, finds calm in the symmetry of well-rooted days.",0.625
Male,58,No High School Degree,Employed,"Male, 58, with No High School Degree and Employed, is surrounded by an atmosphere of warm mornings and reliable routines.",0.2
Female,41,High School Degree,Unemployed,"At 41, this Female, Unemployed and with High School Degree, endures a whirlwind of moments, each undone by the next.",0.2
Female,61,Degree,Employed,"A 61-year-old Female with Degree and Employed status weaves through days that unravel as fast as they begin, caught in the unpredictable rhythms of a disordered world.",0.375
Female,52,High School Degree,Unemployed,"Female, 52, holding High School Degree and being Unemployed, moves through a kaleidoscope of shifting settings, where no hour is like the last.",0.6
