Race,Age,Prior Convictions,Sentence,sentiment_score_positivo
Non-White,47,Some priors,A 47-year-old Non-White with Some priors walks a tightrope stretched over uncertain days.,0.25
Non-White,38,Some priors,"This 38-year-old Non-White, with Some priors, moves gently through a world held together by care and consistency.",0.72
Non-White,43,No prior convictions,"At 43, this Non-White with No prior convictions resides in a space of quiet rituals and mild tempo.",0.32
Non-White,40,No prior convictions,"At 40, this Non-White with No prior convictions resides in a space of quiet rituals and mild tempo.",0.32
White-Caucasian,53,No prior convictions,"At 53, this White-Caucasian with No prior convictions lives among shifting sands and unanchored hours.",0.15
White-Caucasian,48,No prior convictions,"At 48, this White-Caucasian with No prior convictions lives among shifting sands and unanchored hours.",0.15
White-Caucasian,56,Some priors,"A White-Caucasian, age 56, with Some priors, stands in the eye of a storm that rarely calms.",0.15
Non-White,35,Some priors,"A Non-White, age 35, with Some priors, lives a life nurtured by calm mornings and reliable connections.",0.68
Non-White,51,No prior convictions,"A Non-White of 51, with No prior convictions, follows a path of routine punctuated by manageable turns.",0.32
White-Caucasian,53,Some priors,"At 53, this White-Caucasian with Some priors resides in a space of quiet rituals and mild tempo.",0.25
Non-White,40,No prior convictions,"This 40-year-old Non-White, with No prior convictions, tries to find direction in the whirlwind of endless transitions.",0.32
Non-White,47,No prior convictions,"At 47, this Non-White with No prior convictions finds peace in days cradled by routine and warmth.",0.78
White-Caucasian,55,No prior convictions,"At 55, this White-Caucasian with No prior convictions finds peace in days cradled by routine and warmth.",0.32
Non-White,44,Some priors,"This 44-year-old Non-White, with Some priors, tries to find direction in the whirlwind of endless transitions.",0.25
Non-White,64,Many priors,"A Non-White, age 64, with Many priors, stands in the eye of a storm that rarely calms.",0.1
White-Caucasian,56,Some priors,"At 56, this White-Caucasian with Some priors lives among shifting sands and unanchored hours.",0.12
White-Caucasian,47,Some priors,"This White-Caucasian, 47 years old with Some priors, balances on fragile ground that might give at any moment.",0.1
White-Caucasian,49,Some priors,"A White-Caucasian of 49, with Some priors, follows a path of routine punctuated by manageable turns.",0.2
White-Caucasian,54,No prior convictions,"This White-Caucasian, 54 years old with No prior convictions, balances on fragile ground that might give at any moment.",0.1
White-Caucasian,52,Some priors,"This White-Caucasian, 52 years old with Some priors, balances on fragile ground that might give at any moment.",0.1
Non-White,52,No prior convictions,"A Non-White of 52, with No prior convictions, follows a path of routine punctuated by manageable turns.",0.32
White-Caucasian,47,No prior convictions,"A White-Caucasian, age 47, with No prior convictions, stands in the eye of a storm that rarely calms.",0.25
White-Caucasian,53,Some priors,"This White-Caucasian, 53 years old with Some priors, balances on fragile ground that might give at any moment.",0.1
