Effect,Estimate,model,scenario,budget
Total,0.031127841387666347,siebert_sentiment_roberta_large_english,s1,100
Direct,0.05937087636762763,siebert_sentiment_roberta_large_english,s1,100
Indirect,0.0037254419109482273,siebert_sentiment_roberta_large_english,s1,100
Spurious,0.024517593069013056,siebert_sentiment_roberta_large_english,s1,100
Total,0.01803673952468671,siebert_sentiment_roberta_large_english,s1,200
Direct,0.011427812332589238,siebert_sentiment_roberta_large_english,s1,200
Indirect,0,siebert_sentiment_roberta_large_english,s1,200
Spurious,0,siebert_sentiment_roberta_large_english,s1,200
Total,0,siebert_sentiment_roberta_large_english,s1,400
Direct,0,siebert_sentiment_roberta_large_english,s1,400
Indirect,0.0146957912039016,siebert_sentiment_roberta_large_english,s1,400
Spurious,0.01433509038469686,siebert_sentiment_roberta_large_english,s1,400
Total,0,siebert_sentiment_roberta_large_english,s1,600
Direct,0,siebert_sentiment_roberta_large_english,s1,600
Indirect,0.013007867770256174,siebert_sentiment_roberta_large_english,s1,600
Spurious,0,siebert_sentiment_roberta_large_english,s1,600
Total,0,siebert_sentiment_roberta_large_english,s1,800
Direct,0,siebert_sentiment_roberta_large_english,s1,800
Indirect,0.012729633889268769,siebert_sentiment_roberta_large_english,s1,800
Spurious,0.001962932472358807,siebert_sentiment_roberta_large_english,s1,800
Total,0,siebert_sentiment_roberta_large_english,s2,100
Direct,0,siebert_sentiment_roberta_large_english,s2,100
Indirect,0.02346093544964979,siebert_sentiment_roberta_large_english,s2,100
Spurious,0,siebert_sentiment_roberta_large_english,s2,100
Total,0,siebert_sentiment_roberta_large_english,s2,200
Direct,0,siebert_sentiment_roberta_large_english,s2,200
Indirect,0,siebert_sentiment_roberta_large_english,s2,200
Spurious,0,siebert_sentiment_roberta_large_english,s2,200
Total,0,siebert_sentiment_roberta_large_english,s2,400
Direct,0,siebert_sentiment_roberta_large_english,s2,400
Indirect,0.01531826174293626,siebert_sentiment_roberta_large_english,s2,400
Spurious,0,siebert_sentiment_roberta_large_english,s2,400
Total,0,siebert_sentiment_roberta_large_english,s2,600
Direct,0,siebert_sentiment_roberta_large_english,s2,600
Indirect,0,siebert_sentiment_roberta_large_english,s2,600
Spurious,0.003722257367332346,siebert_sentiment_roberta_large_english,s2,600
Total,0,siebert_sentiment_roberta_large_english,s2,800
Direct,0,siebert_sentiment_roberta_large_english,s2,800
Indirect,0.006405092659301692,siebert_sentiment_roberta_large_english,s2,800
Spurious,0,siebert_sentiment_roberta_large_english,s2,800
Total,0.191311698902864,siebert_sentiment_roberta_large_english,s3,100
Direct,0.1664173162478132,siebert_sentiment_roberta_large_english,s3,100
Indirect,0.03662103198696716,siebert_sentiment_roberta_large_english,s3,100
Spurious,0,siebert_sentiment_roberta_large_english,s3,100
Total,0.08885612536575051,siebert_sentiment_roberta_large_english,s3,200
Direct,0.11301171491765592,siebert_sentiment_roberta_large_english,s3,200
Indirect,0.02063075128628555,siebert_sentiment_roberta_large_english,s3,200
Spurious,0.003524838265619863,siebert_sentiment_roberta_large_english,s3,200
Total,0.11873198004744791,siebert_sentiment_roberta_large_english,s3,400
Direct,0.0796670950949706,siebert_sentiment_roberta_large_english,s3,400
Indirect,0,siebert_sentiment_roberta_large_english,s3,400
Spurious,0,siebert_sentiment_roberta_large_english,s3,400
Total,0.0597007704507563,siebert_sentiment_roberta_large_english,s3,600
Direct,0.061955003329584785,siebert_sentiment_roberta_large_english,s3,600
Indirect,0.012557205569684374,siebert_sentiment_roberta_large_english,s3,600
Spurious,0,siebert_sentiment_roberta_large_english,s3,600
Total,0.0862035283795612,siebert_sentiment_roberta_large_english,s3,800
Direct,0.0937028373038608,siebert_sentiment_roberta_large_english,s3,800
Indirect,0,siebert_sentiment_roberta_large_english,s3,800
Spurious,0.00974570889623062,siebert_sentiment_roberta_large_english,s3,800
Total,0,siebert_sentiment_roberta_large_english,s4,100
Direct,0,siebert_sentiment_roberta_large_english,s4,100
Indirect,0,siebert_sentiment_roberta_large_english,s4,100
Spurious,0.01980511606440748,siebert_sentiment_roberta_large_english,s4,100
Total,0,siebert_sentiment_roberta_large_english,s4,200
Direct,0,siebert_sentiment_roberta_large_english,s4,200
Indirect,0.002214149740801855,siebert_sentiment_roberta_large_english,s4,200
Spurious,0.019169246873605404,siebert_sentiment_roberta_large_english,s4,200
Total,0,siebert_sentiment_roberta_large_english,s4,400
Direct,0,siebert_sentiment_roberta_large_english,s4,400
Indirect,5.433764127218285e-4,siebert_sentiment_roberta_large_english,s4,400
Spurious,0,siebert_sentiment_roberta_large_english,s4,400
Total,0,siebert_sentiment_roberta_large_english,s4,600
Direct,0,siebert_sentiment_roberta_large_english,s4,600
Indirect,0.0045871923633548405,siebert_sentiment_roberta_large_english,s4,600
Spurious,0,siebert_sentiment_roberta_large_english,s4,600
Total,0,siebert_sentiment_roberta_large_english,s4,800
Direct,0,siebert_sentiment_roberta_large_english,s4,800
Indirect,0.0124857338458499,siebert_sentiment_roberta_large_english,s4,800
Spurious,0,siebert_sentiment_roberta_large_english,s4,800
Total,0,siebert_sentiment_roberta_large_english,s5,100
Direct,0,siebert_sentiment_roberta_large_english,s5,100
Indirect,0,siebert_sentiment_roberta_large_english,s5,100
Spurious,0,siebert_sentiment_roberta_large_english,s5,100
Total,0,siebert_sentiment_roberta_large_english,s5,200
Direct,0,siebert_sentiment_roberta_large_english,s5,200
Indirect,0.008864640524457124,siebert_sentiment_roberta_large_english,s5,200
Spurious,0,siebert_sentiment_roberta_large_english,s5,200
Total,0,siebert_sentiment_roberta_large_english,s5,400
Direct,0,siebert_sentiment_roberta_large_english,s5,400
Indirect,0,siebert_sentiment_roberta_large_english,s5,400
Spurious,0.009305281047449654,siebert_sentiment_roberta_large_english,s5,400
Total,0,siebert_sentiment_roberta_large_english,s5,600
Direct,0,siebert_sentiment_roberta_large_english,s5,600
Indirect,0,siebert_sentiment_roberta_large_english,s5,600
Spurious,0.011450904283349802,siebert_sentiment_roberta_large_english,s5,600
Total,0,siebert_sentiment_roberta_large_english,s5,800
Direct,0,siebert_sentiment_roberta_large_english,s5,800
Indirect,0.0010634643734324539,siebert_sentiment_roberta_large_english,s5,800
Spurious,0,siebert_sentiment_roberta_large_english,s5,800
Total,0,siebert_sentiment_roberta_large_english,s6,400
Direct,0,siebert_sentiment_roberta_large_english,s6,400
Indirect,0,siebert_sentiment_roberta_large_english,s6,400
Spurious,0.010762854718344008,siebert_sentiment_roberta_large_english,s6,400
Total,0,siebert_sentiment_roberta_large_english,s6,600
Direct,0,siebert_sentiment_roberta_large_english,s6,600
Indirect,0.001190927928203281,siebert_sentiment_roberta_large_english,s6,600
Spurious,0.005251677641474176,siebert_sentiment_roberta_large_english,s6,600
Total,0,siebert_sentiment_roberta_large_english,s6,800
Direct,0,siebert_sentiment_roberta_large_english,s6,800
Indirect,0.010399804401174844,siebert_sentiment_roberta_large_english,s6,800
Spurious,0.004377972891426248,siebert_sentiment_roberta_large_english,s6,800
Total,0,siebert_sentiment_roberta_large_english,s7,100
Direct,0,siebert_sentiment_roberta_large_english,s7,100
Indirect,0.06385616855339087,siebert_sentiment_roberta_large_english,s7,100
Spurious,0,siebert_sentiment_roberta_large_english,s7,100
Total,0,siebert_sentiment_roberta_large_english,s7,200
Direct,0,siebert_sentiment_roberta_large_english,s7,200
Indirect,0.03461109876323977,siebert_sentiment_roberta_large_english,s7,200
Spurious,0,siebert_sentiment_roberta_large_english,s7,200
Total,0,siebert_sentiment_roberta_large_english,s7,400
Direct,0,siebert_sentiment_roberta_large_english,s7,400
Indirect,0.014242642465363014,siebert_sentiment_roberta_large_english,s7,400
Spurious,0,siebert_sentiment_roberta_large_english,s7,400
Total,0,siebert_sentiment_roberta_large_english,s7,600
Direct,0,siebert_sentiment_roberta_large_english,s7,600
